2017-09-10 19:53:36,661 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 19:53:36,810 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 19:53:36,926 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 19:53:37,006 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 19:53:37,935 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 19:53:37,936 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390>切换frame:('id', 'iframe-container-54')成功
2017-09-10 19:53:38,063 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 19:53:38,789 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 19:53:39,181 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 19:53:39,538 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 19:53:39,862 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 19:53:39,912 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 19:53:39,954 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 19:53:41,115 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 19:53:41,506 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 19:53:41,817 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 19:53:42,133 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 19:53:42,197 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 19:53:42,258 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 19:53:42,317 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03176390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
