2017-09-10 19:48:48,194 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 19:48:48,352 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 19:48:48,487 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 19:48:48,567 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 19:48:49,850 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 19:48:49,850 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390>切换frame:('id', 'iframe-container-54')成功
2017-09-10 19:48:49,922 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 19:48:50,509 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 19:48:50,836 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 19:48:51,216 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 19:48:51,524 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 19:48:51,578 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 19:48:51,641 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 19:48:52,152 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 19:48:52,512 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 19:48:52,909 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 19:48:53,272 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 19:48:53,336 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 19:48:53,403 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 19:48:53,514 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03036390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
