2017-09-10 21:06:40,507 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 21:06:40,789 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 21:06:40,894 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 21:06:40,980 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 21:06:42,247 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 21:06:42,247 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0>切换frame:('id', 'iframe-container-54')成功
2017-09-10 21:06:42,325 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 21:06:43,128 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 21:06:43,424 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 21:06:43,776 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 21:06:44,091 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 21:06:44,158 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 21:06:44,911 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 21:06:45,238 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 21:06:45,559 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 21:06:45,863 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 21:06:46,186 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 21:06:46,273 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 21:06:46,358 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 21:06:46,424 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030563B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
