2017-09-10 20:11:11,340 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:11:11,495 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:11:11,617 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:11:11,712 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:11:12,909 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:11:12,910 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:11:13,029 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:11:14,029 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:11:14,330 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:11:14,692 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:11:14,997 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:11:15,460 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:11:15,570 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:11:15,924 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:11:16,224 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:11:16,517 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:11:16,841 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:11:16,918 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:11:16,977 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:11:17,037 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03196390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
