2017-09-10 20:17:29,568 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:17:29,690 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:17:29,839 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:17:29,915 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:17:31,222 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:17:31,222 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:17:31,283 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:17:31,863 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:17:32,172 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:17:32,521 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:17:32,837 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:17:32,933 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:17:33,390 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:17:33,771 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:17:34,097 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:17:34,422 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:17:34,752 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:17:34,830 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:17:34,901 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:17:35,007 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
