2017-09-10 20:59:39,105 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:59:39,450 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:59:39,599 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:59:39,799 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:59:41,492 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:59:41,492 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:59:41,584 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:59:42,316 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:59:42,588 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:59:42,889 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:59:43,263 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:59:43,351 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:59:44,022 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:59:44,330 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:59:44,638 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:59:44,946 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:59:45,239 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:59:45,296 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:59:45,372 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:59:45,503 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031763B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
