2017-09-11 20:25:44,166 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-11 20:25:44,331 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('id', 'userName') 元素
2017-09-11 20:25:44,479 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('id', 'userPass') 元素
2017-09-11 20:25:44,597 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-11 20:25:45,873 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-11 20:25:45,874 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370>切换frame:('id', 'iframe-container-54')成功
2017-09-11 20:25:46,043 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-11 20:25:46,789 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-11 20:25:47,114 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-11 20:25:47,466 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-11 20:25:47,792 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('name', 'volume') 元素
2017-09-11 20:25:47,854 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('name', 'weight') 元素
2017-09-11 20:25:47,903 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-11 20:25:48,630 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-11 20:25:49,040 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-11 20:25:49,354 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-11 20:25:49,672 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-11 20:25:49,751 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-11 20:25:49,806 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-11 20:25:49,877 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03185370> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
