2017-09-10 20:06:28,671 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:06:29,000 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:06:29,108 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:06:29,241 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:06:30,327 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:06:30,328 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:06:30,467 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:06:31,210 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:06:31,504 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:06:31,803 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:06:32,097 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:06:32,150 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:06:32,214 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:06:33,070 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:06:33,451 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:06:33,785 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:06:34,114 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:06:34,214 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:06:34,287 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:06:34,390 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03037390> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
