2017-09-10 20:29:01,456 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:29:01,811 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:29:01,897 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:29:01,969 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:29:03,228 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:29:03,228 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:29:03,323 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:29:03,941 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:29:04,304 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:29:04,604 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:29:04,949 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:29:05,302 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:29:05,373 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:29:05,729 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:29:06,087 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:29:06,387 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:29:06,721 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:29:06,838 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:29:07,050 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:29:07,204 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031717D0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
