2017-09-11 20:28:46,824 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-11 20:28:47,003 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('id', 'userName') 元素
2017-09-11 20:28:47,106 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-11 20:28:47,186 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-11 20:28:50,581 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-11 20:28:50,581 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0>切换frame:('id', 'iframe-container-54')成功
2017-09-11 20:28:50,655 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-11 20:28:51,295 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-11 20:28:51,668 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-11 20:28:52,111 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-11 20:28:52,470 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('name', 'volume') 元素
2017-09-11 20:28:52,538 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('name', 'weight') 元素
2017-09-11 20:28:52,603 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-11 20:28:53,154 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-11 20:28:53,453 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-11 20:28:53,749 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-11 20:28:54,047 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-11 20:28:54,109 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-11 20:28:54,161 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-11 20:28:54,214 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x032C17D0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
