2017-09-10 20:09:46,842 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:09:47,069 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:09:47,200 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:09:47,362 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:09:48,738 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:09:48,738 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:09:48,860 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:09:49,628 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:09:49,995 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:09:50,345 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:09:50,677 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:09:50,759 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:09:51,135 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:09:51,461 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:09:51,807 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:09:52,150 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:09:52,446 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:09:52,531 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:09:52,595 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:09:52,693 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031B7350> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
