2017-09-10 20:20:03,468 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:20:03,646 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:20:03,789 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:20:04,180 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:20:05,406 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:20:05,406 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:20:05,468 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:20:06,040 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:20:06,328 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:20:06,660 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:20:06,955 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:20:07,007 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:20:07,487 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:20:07,844 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:20:08,191 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:20:08,539 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:20:08,846 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:20:08,926 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:20:09,018 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:20:09,087 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03171790> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
