2017-09-11 20:27:47,806 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-11 20:27:47,964 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('id', 'userName') 元素
2017-09-11 20:27:48,089 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-11 20:27:48,159 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-11 20:27:49,372 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-11 20:27:49,372 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0>切换frame:('id', 'iframe-container-54')成功
2017-09-11 20:27:49,498 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-11 20:27:50,281 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-11 20:27:50,587 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-11 20:27:50,965 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-11 20:27:51,267 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('name', 'volume') 元素
2017-09-11 20:27:51,318 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('name', 'weight') 元素
2017-09-11 20:27:51,364 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-11 20:27:51,901 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-11 20:27:52,213 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-11 20:27:52,611 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-11 20:27:52,928 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-11 20:27:52,997 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-11 20:27:53,071 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-11 20:27:53,198 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031953B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
