2017-09-10 21:02:35,102 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 21:02:35,367 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 21:02:35,549 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 21:02:35,650 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 21:02:36,744 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 21:02:36,744 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0>切换frame:('id', 'iframe-container-54')成功
2017-09-10 21:02:36,810 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 21:02:37,503 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 21:02:37,813 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 21:02:38,197 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 21:02:38,520 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 21:02:38,592 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 21:02:38,880 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 21:02:39,183 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 21:02:39,474 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 21:02:39,759 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 21:02:40,045 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 21:02:40,137 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 21:02:40,211 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 21:02:40,298 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x030463B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
