2017-09-10 20:28:11,609 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 20:28:11,735 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 20:28:11,859 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 20:28:11,975 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 20:28:13,254 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 20:28:13,254 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0>切换frame:('id', 'iframe-container-54')成功
2017-09-10 20:28:13,392 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 20:28:14,142 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 20:28:14,442 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 20:28:14,788 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 20:28:15,083 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 20:28:15,136 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 20:28:15,204 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 20:28:15,741 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 20:28:16,132 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 20:28:16,455 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 20:28:16,749 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 20:28:16,828 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 20:28:16,957 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 20:28:17,056 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x031A63B0> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
